#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1733436749755000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436749777999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436750379000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436750585999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436750649999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436750718000128,0.0,0.0,0.0,0.0,0.0,9.81
1733436750780999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436750844000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436750923000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436750985999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436751047000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436751116000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436751182000128,0.0,0.0,0.0,0.0,0.0,9.81
1733436751305999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436751342000128,0.0,0.0,0.0,0.0,0.0,9.81
1733436751423000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436751480999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436751550000128,0.0,0.0,0.0,0.0,0.0,9.81
1733436751625999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436751683000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436751743000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436751823000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436751883000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436751947000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436752051000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436752121999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436752185999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436752243000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436752319000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436752380000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436752448000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436752512000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436752585999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436752644999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436752716000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436752790000128,0.0,0.0,0.0,0.0,0.0,9.81
1733436752844999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436752915000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436752985999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436753043000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436753116000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436753180999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436753248999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436753312999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436753377999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436753448000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436753524000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436753577999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436753648999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436753712999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436753779000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436753848000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436753916999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436753980999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436754057999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436754115000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436754185999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436754297999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436754328000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436754377999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436754444999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436754512999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436754585999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436754641999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436754716999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436754779000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436754857999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436754924000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436754985999872,0.0,0.0,0.0,0.0,0.0,9.81
1733436755055000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436755120999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436755180999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436755248999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436755324000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436755387000064,0.0,0.0,0.0,0.0,0.0,9.81
1733436755448999936,0.0,0.0,0.0,0.0,0.0,9.81
1733436755520000000,0.0,0.0,0.0,0.0,0.0,9.81
1733436755584999936,0.0,0.0,0.0,0.0,0.0,9.81
