#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1740600248118767667,-0.083090626,0.608266,0.082025364,-3.9205053,-1.1480197,8.836999
1740600248129737125,-0.08735169,0.61572284,0.084155895,-3.9516299,-1.1671734,8.700529
1740600248139297208,-0.101200126,0.6178534,0.08948222,-3.8666358,-1.1683705,8.808268
1740600248149445208,-0.10013486,0.6061355,0.09374327,-3.9875429,-1.1563994,8.827422
1740600248157772083,-0.08628642,0.57311225,0.09054748,-3.965995,-1.1755531,8.756793
1740600248169142708,-0.07243799,0.51452273,0.07882957,-4.0162735,-1.2054806,8.765172
1740600248178662958,-0.05752428,0.43782368,0.07669904,-3.9588125,-1.1408371,8.734048
1740600248186365292,-0.049002163,0.39095205,0.07350325,-3.9695864,-1.1587936,8.762778
1740600248197173250,-0.026631612,0.29827404,0.066046394,-3.8869865,-1.127669,8.730456
1740600248205650792,0.0063915867,0.20026971,0.049002163,-3.843891,-1.1180922,8.754398
1740600248225350333,0.066046394,0.015978966,-0.00958738,-3.8666358,-1.1192893,8.620323
1740600248219144792,0.05539375,0.056459017,0.004261058,-3.8175547,-1.1145009,8.686164
1740600248233641166,0.08735169,-0.056459017,-0.027696876,-3.8881836,-1.1216835,8.615535
1740600248250188708,0.13422333,-0.14913702,-0.04261058,-3.8965633,-1.1911154,8.514978
1740600248258492833,0.13848437,-0.2130529,-0.05219796,-3.9731777,-1.246182,8.391677
1740600248269913584,0.099069595,-0.2759035,-0.041545313,-3.976769,-1.2042835,8.202535
1740600248278038458,0.0479369,-0.3355583,-0.03089267,-3.8414967,-1.1827357,8.1642275
1740600248287766583,0.008522116,-0.3717773,-0.036218993,-3.7373488,-1.1887212,8.305486
1740600248297381542,-0.0031957934,-0.37923414,-0.06498113,-3.7457285,-1.1779473,8.380903
1740600248307842375,0.002130529,-0.3717773,-0.101200126,-3.846285,-1.2198458,8.4347725
1740600248318231375,0.017044231,-0.34940675,-0.12463594,-3.9923313,-1.3072342,8.498219
1740600248325518333,0.025566347,-0.33768883,-0.13102753,-4.009091,-1.34195,8.585608
1740600248337766459,0.0479369,-0.30786142,-0.12463594,-4.0677485,-1.3443443,8.6813755
1740600248347176083,0.053263225,-0.30360037,-0.113983296,-4.0976763,-1.3682863,8.653842
1740600248356191917,0.0628506,-0.28442562,-0.0777643,-4.1036615,-1.3802572,8.584411
1740600248366148834,0.06391586,-0.25353295,-0.056459017,-4.083311,-1.3754689,8.529344
1740600248377410084,0.06391586,-0.21092236,-0.04580637,-4.0785227,-1.365892,8.4647
1740600248386565000,0.05539375,-0.16192019,-0.035153728,-4.2102036,-1.3395559,8.51019
1740600248396212167,0.040480047,-0.1107875,-0.015978966,-4.200627,-1.3084313,8.407239
1740600248406699542,0.022370555,-0.070307456,0.008522116,-4.1575313,-1.3084313,8.429984
1740600248417534250,0.0010652645,-0.041545313,0.033023197,-4.131195,-1.3084313,8.506598
1740600248428266917,-0.010652645,-0.01917476,0.053263225,-4.0258503,-1.3215994,8.603564
1740600248438097959,-0.008522116,-0.00958738,0.05965481,-3.8977604,-1.3275849,8.706514
1740600248448503459,-0.002130529,-0.007456851,0.058589544,-3.8630445,-1.3359646,8.810662
1740600248457677792,0.036218993,-0.018109497,0.054328486,-3.8031895,-1.4041992,8.916007
1740600248466284083,0.053263225,-0.027696876,0.05219796,-3.7612908,-1.4030021,8.925584
1740600248478329833,0.10759171,-0.060720075,0.035153728,-3.6942532,-1.389834,8.798691
1740600248491924666,0.13635385,-0.08841695,0.004261058,-3.7349546,-1.2449849,8.773552
1740600248507869958,0.13528858,-0.12357068,-0.033023197,-3.752911,-1.1839328,8.692149
1740600248497963584,0.13741912,-0.098004326,-0.008522116,-3.7553053,-1.1971009,8.755595
1740600248518017292,0.1257012,-0.15446335,-0.05539375,-3.8007953,-1.2018893,8.637083
