#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1739387922470,-0.0010652645,0.0010652645,0.0,-0.095768064,9.570822,0.34117374
1739387922475,-0.0010652645,0.002130529,0.0,-0.11971009,9.601946,0.35553896
1739387922480,0.0010652645,0.002130529,0.0,-0.11731588,9.639056,0.34835634
1739387922485,0.0010652645,0.0010652645,0.0,-0.11252748,9.589975,0.33399114
1739387922490,0.0010652645,0.0,-0.0010652645,-0.11492168,9.589975,0.33877954
1739387922494,0.0,0.0,-0.0010652645,-0.11492168,9.566033,0.34356794
1739387922499,0.0010652645,0.0,0.0,-0.12449849,9.592369,0.34835634
1739387922505,0.0,0.0,0.0010652645,-0.107739076,9.543288,0.35434186
1739387922510,0.0,0.0,-0.0010652645,-0.12210429,9.551667,0.33997664
1739387922515,-0.0010652645,0.0010652645,0.0010652645,-0.11731588,9.568427,0.33638534
1739387922520,0.0010652645,0.0010652645,0.0010652645,-0.108936176,9.589975,0.34237084
1739387922525,0.0,0.0010652645,0.0010652645,-0.11252748,9.579201,0.35194764
1739387922530,0.0,0.0,-0.002130529,-0.12210429,9.572019,0.36152446
1739387922535,0.0010652645,0.0010652645,0.0010652645,-0.11611878,9.618706,0.34715924
1739387922540,0.0,0.0010652645,0.0,-0.10534488,9.598354,0.36631286
1739387922545,0.0,0.0010652645,-0.0010652645,-0.11252748,9.607931,0.35194764
1739387922550,0.0010652645,0.002130529,0.0,-0.108936176,9.593566,0.35793316
1739387922555,0.0010652645,0.002130529,0.0,-0.11372458,9.576807,0.33399114
1739387929833,0.0010652645,0.0,-0.0010652645,-0.12330139,9.592369,0.33279404
1739387929838,0.0010652645,0.0010652645,-0.0010652645,-0.10534488,9.616311,0.33518824
1739387929841,0.0010652645,0.0010652645,-0.0010652645,-0.10534488,9.616311,0.33518824
1739387929848,0.0010652645,0.0010652645,-0.0010652645,-0.10295067,9.581595,0.34237084
1739387929853,0.0010652645,0.0,-0.0010652645,-0.10534488,9.604341,0.33997664
1739387929858,0.0010652645,0.0010652645,-0.002130529,-0.108936176,9.619903,0.32441434
