#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1740628105941942208,0.09054748,-0.09374327,-0.0010652645,-0.6488287,4.9069166,8.785523
1740628105952088417,0.18429075,-0.035153728,0.00958738,-0.47764325,4.891354,8.996213
1740628105952559124,0.18429075,-0.035153728,0.00958738,-0.47764325,4.891354,8.996213
1740628105952437749,0.18429075,-0.035153728,0.00958738,-0.47764325,4.891354,8.996213
1740628105952420041,0.18429075,-0.035153728,0.00958738,-0.47764325,4.891354,8.996213
1740628108332650583,0.18429075,-0.035153728,0.00958738,-0.8595184,5.2899885,7.8793178
1740628108339319250,0.18429075,-0.035153728,0.00958738,-0.78050977,5.231331,8.115147
1740628108339288542,0.18429075,-0.035153728,0.00958738,-0.78050977,5.231331,8.115147
1740628108359416584,0.18429075,-0.035153728,0.00958738,0.12689269,4.939238,9.105149
1740628108375175583,0.18429075,-0.035153728,0.00958738,0.30885202,4.9907136,8.662222
1740628108375177417,0.18429075,-0.035153728,0.00958738,0.30885202,4.9907136,8.662222
1740628108394406375,0.18429075,-0.035153728,0.00958738,0.23104046,4.8494554,8.232463
1740628108404174417,0.18429075,-0.035153728,0.00958738,0.12090719,4.868609,8.159439
1740628108404156167,0.18429075,-0.035153728,0.00958738,0.12090719,4.868609,8.159439
1740628108424710584,0.18429075,-0.035153728,0.00958738,-0.12808979,4.8458643,8.214506
1740628108434390292,0.18429075,-0.035153728,0.00958738,-0.045489833,4.9069166,8.243237
1740628108440131750,0.18429075,-0.035153728,0.00958738,0.0,4.9464207,8.244433
1740628108440233166,0.18429075,-0.035153728,0.00958738,0.0,4.9464207,8.244433
1740628108454035917,0.18429075,-0.035153728,0.00958738,-0.033518825,5.032612,8.330625
1740628108474055292,0.18429075,-0.035153728,0.00958738,0.039504327,4.950012,8.380903
1740628108484712542,0.18429075,-0.035153728,0.00958738,0.20350714,4.9188876,8.622718
1740628108494462500,0.18429075,-0.035153728,0.00958738,0.2645593,4.8877625,8.617929
1740628108504435916,0.18429075,-0.035153728,0.00958738,0.21547815,4.911705,8.366538
1740628108504314166,0.18429075,-0.035153728,0.00958738,0.21547815,4.911705,8.366538
1740628108504455708,0.18429075,-0.035153728,0.00958738,0.21547815,4.911705,8.366538
1740628108534615458,0.18429075,-0.035153728,0.00958738,0.031124622,4.9895163,7.726089
1740628108539523750,0.18429075,-0.035153728,0.00958738,-0.02873042,5.0134583,7.7308774
1740628108539515792,0.18429075,-0.035153728,0.00958738,-0.02873042,5.0134583,7.7308774
1740628108559560625,0.18429075,-0.035153728,0.00958738,-0.031124622,5.0505686,7.9032598
1740628108559502833,0.18429075,-0.035153728,0.00958738,-0.031124622,5.0505686,7.9032598
1740628108574199792,0.18429075,-0.035153728,0.00958738,0.007182605,5.0781016,8.020576
1740628108590516709,0.034088463,0.0127831735,-0.046871636,-0.033518825,5.0721164,8.057686
1740628108590664834,0.034088463,0.0127831735,-0.046871636,-0.033518825,5.0721164,8.057686
1740628108612313375,0.043675844,0.05539375,-0.046871636,0.025139118,5.0613422,8.169016
1740628108624237292,0.068176925,0.09267801,-0.049002163,-0.047884032,5.080496,8.431181
1740628108634285459,0.10333065,0.10013486,-0.043675844,-0.17238252,5.09127,8.463503
1740628108639476292,0.12357068,0.09054748,-0.03834952,-0.23104046,5.093664,8.508993
1740628108639488708,0.12357068,0.09054748,-0.03834952,-0.23104046,5.093664,8.508993
1740628108664442500,0.2130529,0.066046394,0.007456851,-0.12689269,5.1259856,8.3390045
1740628108674320875,0.23435818,0.08522116,0.0127831735,0.06703765,5.1439424,8.319851
1740628108674334458,0.23435818,0.08522116,0.0127831735,0.06703765,5.1439424,8.319851
1740628108690455167,0.23755397,0.12676647,-0.008522116,0.130484,5.1702785,8.018182
1740628108704582291,0.21198763,0.14913702,-0.037284255,0.130484,5.1678843,8.024167
1740628108715076291,0.20026971,0.15126756,-0.058589544,0.09696517,5.1475334,8.133103
1740628108724055667,0.21411815,0.16618125,-0.07137272,-0.06703765,5.1475334,8.194156
1740628108731982542,0.22370553,0.18216023,-0.070307456,-0.08738836,5.1607018,8.183381
1740628108739461500,0.24714136,0.21198763,-0.05539375,-0.005985504,5.2325277,8.111555
1740628108754905917,0.2609898,0.20879184,-0.06391586,0.074220255,5.2744265,7.890092
1740628108764512584,0.24714136,0.18748654,-0.08522116,-0.06943185,5.2444987,7.7189064
1740628108774196209,0.21518342,0.16298546,-0.094808534,-0.19273324,5.197812,7.667431
1740628108784713292,0.18216023,0.15126756,-0.094808534,-0.24061728,5.2145715,7.687782
1740628108791256083,0.16937704,0.14913702,-0.094808534,-0.24301147,5.267244,7.7105265
1740628108791258708,0.16937704,0.14913702,-0.094808534,-0.24301147,5.267244,7.7105265
1740628108811529042,0.12357068,0.11717909,-0.08841695,-0.35434186,5.3558292,7.65546
1740628108811513292,0.12357068,0.11717909,-0.08841695,-0.35434186,5.3558292,7.65546
1740628108824479125,0.09267801,0.07137272,-0.08948222,-0.4345476,5.4539914,7.6255326
1740628108824333417,0.09267801,0.07137272,-0.08948222,-0.4345476,5.4539914,7.6255326
1740628108845620334,0.05006743,0.02876214,-0.068176925,-0.6560113,5.497087,7.771579
1740628108860169625,0.034088463,0.015978966,-0.039414786,-0.59974754,5.436035,7.8888946
1740628108860172792,0.034088463,0.015978966,-0.039414786,-0.59974754,5.436035,7.8888946
1740628108874487958,0.03834952,0.022370555,-0.022370555,-0.46088383,5.505467,7.9906483
1740628108874479792,0.03834952,0.022370555,-0.022370555,-0.46088383,5.505467,7.9906483
1740628108900543250,0.05539375,0.06178534,-0.020240024,-0.46567222,5.459977,7.869741
1740628108900566375,0.05539375,0.06178534,-0.020240024,-0.46567222,5.459977,7.869741
1740628108914786958,0.04474111,0.066046394,-0.011717909,-0.49679685,5.436035,7.8996687
1740628108930834750,0.036218993,0.053263225,-0.0031957934,-0.4201824,5.436035,8.054094
1740628108930890250,0.036218993,0.053263225,-0.0031957934,-0.4201824,5.436035,8.054094
1740628108944589958,0.051132694,0.033023197,-0.004261058,-0.4189853,5.409699,8.1558485
1740628108962220292,0.07669904,0.051132694,0.0053263223,-0.2753332,5.410896,8.127118
1740628108962209084,0.07669904,0.051132694,0.0053263223,-0.2753332,5.410896,8.127118
1740628108980576833,0.113983296,0.05219796,-0.0063915867,-0.18195933,5.377377,8.048109
1740628108980709583,0.113983296,0.05219796,-0.0063915867,-0.18195933,5.377377,8.048109
1740628108994250250,0.12996227,0.041545313,-0.026631612,-0.32800564,5.439626,7.7213006
1740628109010361542,0.10546118,0.022370555,-0.020240024,-0.4177882,5.459977,7.5225816
1740628109010340375,0.10546118,0.022370555,-0.020240024,-0.4177882,5.459977,7.5225816
1740628109024425750,0.0628506,-0.0127831735,-0.011717909,-0.48602295,5.445612,7.607576
1740628109024591833,0.0628506,-0.0127831735,-0.011717909,-0.48602295,5.445612,7.607576
1740628109044451375,0.05219796,-0.023435818,0.010652645,-0.36631286,5.463568,7.955932
1740628109064938583,0.09374327,0.034088463,-0.00958738,-0.24181437,5.4911017,8.031349
1740628109064875125,0.09374327,0.034088463,-0.00958738,-0.24181437,5.4911017,8.031349
1740628109080375042,0.12250541,0.083090626,-0.027696876,-0.23702596,5.521029,7.9583263
1740628109080643417,0.12250541,0.083090626,-0.027696876,-0.23702596,5.521029,7.9583263
1740628109094148708,0.13954964,0.11504856,-0.043675844,-0.34117374,5.547365,7.777564
1740628109110769958,0.12676647,0.10972224,-0.05219796,-0.50038815,5.5485625,7.6494746
1740628109125077542,0.094808534,0.08628642,-0.04474111,-0.4441244,5.5641246,7.7105265
1740628109131221958,0.08735169,0.07243799,-0.0479369,-0.44771573,5.579687,7.789535
1740628109144447708,0.08948222,0.0479369,-0.05752428,-0.4237737,5.6539073,7.893683
1740628109154636625,0.10439592,0.04261058,-0.05752428,-0.51834464,5.693412,7.9272017
1740628109164695666,0.12250541,0.03195793,-0.05219796,-0.6919243,5.6790466,7.8912888
1740628109175296291,0.13954964,0.02876214,-0.035153728,-0.78290397,5.627571,7.813477
1740628109185126875,0.15126756,0.039414786,-0.00958738,-0.7302315,5.6096144,7.799112
1740628109195819042,0.1587244,0.05539375,0.010652645,-0.5231331,5.626374,7.7943234
1740628109201454167,0.1587244,0.06498113,0.014913702,-0.46926352,5.6467247,7.7667904
1740628109214570958,0.16192019,0.083090626,0.0053263223,-0.46686932,5.6946087,7.5908165
1740628109224643459,0.14807177,0.09374327,0.0010652645,-0.4309563,5.7125654,7.3789296
1740628109234727375,0.12463594,0.07456851,-0.004261058,-0.45489833,5.7305217,7.28795
1740628109245146959,0.094808534,0.06924219,-0.011717909,-0.5398925,5.6646814,7.303512
1740628109255283708,0.058589544,0.084155895,-0.011717909,-0.5566519,5.638345,7.3873096
1740628109260797250,0.040480047,0.08948222,-0.00958738,-0.62847793,5.6886234,7.445967
1740628109274628834,0.024501082,0.08841695,-0.004261058,-0.7278373,5.7257333,7.4854717
1740628109281643833,0.015978966,0.082025364,0.007456851,-0.81163436,5.7377043,7.410054
1740628109296085542,-0.008522116,0.07563378,0.03089267,-0.5770026,5.628768,7.40766
1740628109305719334,-0.017044231,0.05965481,0.01917476,-0.49559975,5.7137623,7.824251
1740628109311679583,-0.00958738,0.053263225,0.011717909,-0.47046062,5.734113,7.9906483
1740628109325633834,0.053263225,-0.015978966,-0.01917476,-0.5351041,5.6898203,8.244433
1740628109335585500,0.096939065,0.004261058,-0.02876214,-0.6596026,5.741296,8.197746
1740628109345972334,0.13741912,0.004261058,-0.017044231,-0.8283938,5.741296,7.9726915
1740628109351992041,0.16724652,-0.017044231,0.007456851,-0.8319851,5.7484784,7.8266454
1740628109360205875,0.1768339,-0.013848438,0.024501082,-0.51834464,5.887342,7.5453267
1740628109365107458,0.1768339,-0.013848438,0.024501082,-0.51834464,5.887342,7.5453267
1740628109382982625,0.14913702,-0.0031957934,0.004261058,-0.33758244,5.901707,7.299921
1740628109393144833,0.10333065,0.008522116,-0.018109497,-0.40462008,5.81791,7.1466923
1740628109402248208,0.049002163,-0.0031957934,-0.02876214,-0.44532153,5.74369,7.1059904
1740628109412629541,0.0010652645,-0.03195793,-0.039414786,-0.44891283,5.7424927,7.1023993
1740628109421175042,-0.04474111,-0.046871636,-0.051132694,-0.50876784,5.74369,7.0593038
1740628109435378416,-0.12037488,-0.0010652645,-0.04474111,-0.59256494,5.8215013,7.088034
1740628109445863875,-0.15765914,0.02130529,-0.035153728,-0.81761986,5.851429,7.439982
1740628109455055667,-0.16724652,0.018109497,-0.024501082,-1.7190368,3.120842,9.42238
1740628109461943791,-0.15339808,0.024501082,-0.0063915867,-1.1468226,4.0306387,9.350554
1740628109465964250,-0.08628642,-0.080960095,-0.0031957934,-0.5650316,5.577293,8.930372
1740628109475562958,0.03089267,-0.31638354,-0.027696876,0.079008654,6.7360864,9.226056
1740628109475565917,0.03089267,-0.31638354,-0.027696876,0.079008654,6.7360864,9.226056
1740628109475635500,0.03089267,-0.31638354,-0.027696876,0.079008654,6.7360864,9.226056
1740628109475633542,0.03089267,-0.31638354,-0.027696876,0.079008654,6.7360864,9.226056
1740628109475657875,0.03089267,-0.31638354,-0.027696876,0.079008654,6.7360864,9.226056
1740628109534260083,0.49854377,0.02130529,-0.10333065,-0.36631286,6.075287,6.4583592
1740628109544442625,0.38562572,0.046871636,-0.098004326,-0.581791,6.1064115,6.2249246
1740628109555270958,0.25033715,0.066046394,-0.08522116,-0.7314286,6.171055,6.0118403
1740628109564193834,0.10865697,0.03195793,-0.066046394,-0.85473,6.1926026,5.8226986
1740628109575206666,-0.036218993,-0.011717909,-0.03834952,-0.8403648,6.1985884,5.8334723
1740628109584194833,-0.17576863,-0.03195793,-0.020240024,-0.6991069,6.194997,6.0202203
1740628109594386875,-0.29827404,-0.03195793,-0.023435818,-0.6619968,6.232107,6.3566055
1740628109604523500,-0.38562572,-0.024501082,-0.03834952,-0.7757214,6.2225304,6.8522053
1740628109614453875,-0.42290998,0.0010652645,-0.043675844,-0.89662856,6.157887,7.356185
1740628109624170542,-0.40373522,0.01917476,-0.033023197,-1.0295067,6.077681,7.8517847
1740628109634618083,-0.33129725,0.02876214,-0.011717909,-1.0570401,6.0477533,8.159439
1740628109644806042,-0.2247708,0.020240024,0.011717909,-0.9947908,6.027403,8.337808
